API,Tipo_Escalabilidade,Modelos,Blocos_Teams,Threads,Tempo_Segundos
cuda,Forte,1000,1,128,27.24194
cuda,Forte,1000,2,128,13.94996
cuda,Forte,1000,4,128,7.40269
cuda,Forte,1000,8,128,4.01129
cuda,Forte,1000,16,128,3.98260
cuda,Forte,1000,32,128,4.15604
cuda,Forte,1000,64,128,4.08495
cuda,Forte,1000,128,128,6.16171
openmp,Forte,1000,1,128,5.39945
openmp,Forte,1000,2,128,5.5563
openmp,Forte,1000,4,128,5.90558
openmp,Forte,1000,8,128,5.49204
openmp,Forte,1000,16,128,5.16436
openmp,Forte,1000,32,128,6.50801
openmp,Forte,1000,64,128,9.1743
openmp,Forte,1000,128,128,10.1553
cuda,Fraca,100,1,128,3.00146
cuda,Fraca,200,2,128,3.09230
cuda,Fraca,400,4,128,3.14683
cuda,Fraca,800,8,128,3.45059
cuda,Fraca,1600,16,128,3.91760
cuda,Fraca,3200,32,128,5.35614
cuda,Fraca,6400,64,128,16.86448
cuda,Fraca,12800,128,128,81.60910
openmp,Fraca,100,1,128,0.866048
openmp,Fraca,200,2,128,1.45118
openmp,Fraca,400,4,128,2.64029
openmp,Fraca,800,8,128,5.04932
openmp,Fraca,1600,16,128,9.13686
openmp,Fraca,3200,32,128,16.4547
openmp,Fraca,6400,64,128,33.0406
openmp,Fraca,12800,128,128,66.4317
